Player,Matchs,Goals,Assists
Diego Rico,4,0,0
Mohamed A,7,0,2
Alex Sola,4,0,0
Alexander Isak,2,1,0
Carlos Fernández,4,0,0
Asier Illarramendi,5,1,0
Beñat Turrientes,6,0,0
Umar Sadiq,2,1,0
Ander Guevara,2,0,0
Roberto Navarro,6,0,0
Jon Karrikaburu,5,0,0
Ander Barrenetxea,4,0,0
Pablo Marín,1,0,0
Egoitz Arana,0,0,0
Jonathan Gomez,0,0,0
Urko González,0,0,0
Unai Marrero,0,0,0
Ander Martin,0,0,0
Olasagasti,0,0,0
Andoni Zubiaurre,0,0,0
Gerónimo Rulli,11,0,0
Pau Torres,11,0,0
Raúl Albiol,11,0,0
Daniel Parejo,11,0,2
Alfonso Pedraza,10,0,1
Nicolas Jackson,11,2,2
Étienne Capoue,8,0,0
Yeremi Pino,10,1,1
Giovani ,7,1,0
Kiko Femenía,8,0,0
Francis Coquelin,9,1,0
Gerard Moreno,5,2,0
Alex Baena,11,4,0
Juan Foyth,3,0,0
Arnaut Groeneveld,6,2,0
José Lu,11,1,0
Samuel Chukwueze,10,0,1
Aïssa Mandi,6,0,0
Manu Morlanes,2,0,0
Johan Mojica,4,0,0
Alberto Moreno,3,0,0
Manu Trigueros,3,0,0
Iker Álvarez,0,0,0
Jorge Cuenca,0,0,0
Pervis Estupiñán,0,0,0
Filip Jörgensen,0,0,0
Pepe Reina,0,0,0
Giorgi Mamardashvili,11,0,0
Thierry Correia,11,0,0
Samuel,11,1,0
Mouctar Diakhaby,10,2,0
Hugo Guillamón,10,0,3
Yunus Musah,9,0,2
Eray Cömert,8,1,0
José Lu,7,0,1
Samu Castillejo,7,2,0
Edinson Cavani,6,4,1
Gabriel Paulista,8,1,0
Domingos And,8,1,2
Nicolás González,10,1,0
Ilaix Moriba,6,0,0
Justin Kluivert,7,1,0
Hugo Duro,8,1,0
Carlos Soler,3,1,0
Toni Lato,8,1,0
Maranhão,8,1,0
Jesus Vazquez,3,0,0
Dimitri Foulquier,6,0,1
Maxi Gómez,3,0,0
Cenk Özkacar,1,0,0
Cristhian Mosquera,2,0,0
Francisco Perez,2,0,0
Diego Noguerol,1,0,0
Emilio Bernard,0,0,0
Cristian,0,0,0
Jaume Doménech,0,0,0
Iago Herrerín,0,0,0
Koba Koindredi,0,0,0
Charlie Perez,0,0,0
Uroš Račić,0,0,0
Manu Vallejo,0,0,0
Javi Sánchez,10,0,0
Joaquín Fernández,11,1,0
Kike Pérez,10,0,1
Roque Mesa,10,1,1
Sergio Escudero,8,0,0
Álvaro Aguado,10,0,2
Óscar Plano,11,1,1
Monchu,9,1,1
Jordi Masip,6,0,0
Iván Sánchez,9,0,0
Sergio Asenjo,5,0,0
Sergio León,10,5,1
Luis Pérez,5,0,0
Sergi Guardiola,9,0,0
Lucas Olaza,6,0,0
Gonzalo Plata,7,0,0
Shon Weissman,8,1,0
Iván Fresneda,4,0,0
Jawad ,5,0,0
Anuar,3,1,0
Zouhair Feddal,5,0,0
Lucas Olivei,2,0,0
Toni Villa,2,0,0
Juanjo Narváez,4,0,0
Mickael Malsa,4,0,0
Sékou Gassama,1,0,0
Roberto Arroyo,1,0,0
Kenedy,1,0,0
Álvaro Aceves,0,0,0
David Torres,0,0,0
Jeremías Ledesma,11,0,0
Luis Hernández,10,0,0
Alfonso Espino,11,0,1
Víctor Chust,9,1,0
Fede S,10,0,0
Joseba Zaldúa,10,0,1
Iván Alejo,9,0,0
Rubén Sobrino,8,0,0
Lucas Pérez,10,1,0
Anthony Lozano,9,0,0
Álex Fernández,9,1,0
Álvaro Negredo,9,1,1
Brian Ocampo,7,0,0
Rubén Alcaraz,7,0,0
Fali,5,0,0
Isaac Carcelen,5,0,0
Theo Bongonda,6,0,0
Santiago Arzamendia,4,0,0
José Mari,8,0,0
Tomás Alarcón,4,0,0
Mamadou Mbaye,2,0,0
Blanco,3,0,0
Awer Mabil,5,0,0
Mamady Diarra,2,0,0
Alberto Perea,1,0,0
Cala,1,0,0
Álvaro Giménez,1,0,0
Karl Etta,0,0,0
David Gil,0,0,0
Kikín,0,0,0
Curro Muñoz,0,0,0
Victor Wehbi,0,0,0
Sergio Akieme,11,0,0
Rodrigo Ely,11,0,0
Srđan Babić,10,1,0
Fernando,10,0,0
Lucas Robertone,11,1,1
Largie Ramazani,11,2,0
Samu Costa,9,0,0
Íñigo Eguaras,8,0,1
Alejandro Po,8,0,1
Kaiky,7,0,0
El Bil,6,3,1
Léo Baptistão,8,1,0
César ,6,0,0
Houboulang Mendes,5,0,1
Gonzalo Melero,5,1,2
Adri Embarba,7,1,2
Juan Brandáriz,6,0,0
Umar Sadiq,3,2,0
Dyego Sousa,7,0,0
Lázaro,5,0,0
Arnau Puigmal,6,0,0
Francisco Portillo,8,0,0
Fernando Pacheco,1,0,0
Curro,2,0,0
José Carl,1,0,0
Marko Milovanović,2,0,0
Álex Centelles,0,0,0
Arvin Appiahe,0,0,0
Diego Fuoli,0,0,0
Gui Guedes,0,0,0
Carlos Rojas,0,0,0
Martin Šviderský,0,0,0
Édgar Badía,11,0,0
Pedro Bigas,10,0,0
Omar Mascarell,9,0,0
Helibelton Palacios,9,0,0
Gerard Gumbau,10,0,3
Carlos Clerc,7,0,1
Raúl Guti,9,0,0
Enzo Roco,8,0,0
Tete Morente,9,0,0
Lucas Boyé,9,1,2
Álex Collado,6,1,0
Pere Milla,10,3,0
Roger Martí,7,0,1
Ezequiel Ponce,10,2,0
Pol Lirola,5,0,0
Gonzalo Verdú,5,1,0
Johan Mojica,3,0,0
Josan,9,0,0
Domingos Quina,9,0,0
Nicolás Ezequi,5,0,0
Fidel,4,0,0
John Donald,3,0,0
Diego González,4,0,0
Federico Fernández,1,0,0
Alejandro Alfaro,1,0,0
Javier Pastore,1,0,0
Jesús López,0,0,0
Axel Werner,0,0,0
Santiago Bueno,11,0,1
Aleix García,11,0,2
Valentín Castellanos,11,2,0
Juan Carlos,10,0,0
