Journey,Home,Away
23,Villarreal,Getafe
23,Almería,Barcelona
23,Cádiz,Rayo
23,Elche,Betis
23,Valencia,R. Sociedad
23,Celta,Real Valladolid
23,Sevilla,Osasuna
24,Atlético,Sevilla
24,Osasuna,Celta
24,Real Valladolid,Espanyol
24,R. Sociedad,Cádiz
24,Getafe,Girona
24,Mallorca,Elche
24,Rayo,Athletic
24,Almería,Villarreal
24,Barcelona,Valencia
24,Betis,Real Madrid
25,Celta,Rayo
25,Cádiz,Getafe
25,Elche,Real Valladolid
25,Girona,Atlético
25,Athletic,Barcelona
25,Valencia,Osasuna
25,Villarreal,Betis
25,Real Madrid,Espanyol
25,Mallorca,R. Sociedad
25,Sevilla,Almería
26,Espanyol,Celta
26,Osasuna,Villarreal
26,Rayo,Girona
26,R. Sociedad,Elche
26,Atlético,Valencia
26,Barcelona,Real Madrid
26,Betis,Mallorca
26,Almería,Cádiz
26,Getafe,Sevilla
26,Real Valladolid,Athletic
27,Cádiz,Sevilla
27,Atlético,Betis
27,Girona,Espanyol
27,Mallorca,Osasuna
27,Elche,Barcelona
27,Real Madrid,Real Valladolid
27,Valencia,Rayo
27,Villarreal,R. Sociedad
27,Athletic,Getafe
27,Celta,Almería
28,Rayo,Atlético
28,R. Sociedad,Getafe
28,Osasuna,Elche
28,Real Madrid,Villarreal
28,Almería,Valencia
28,Barcelona,Girona
28,Espanyol,Athletic
28,Betis,Cádiz
28,Real Valladolid,Mallorca
28,Sevilla,Celta
29,Valencia,Sevilla
29,Cádiz,Real Madrid
29,Betis,Espanyol
29,Getafe,Barcelona
29,Girona,Elche
29,Rayo,Osasuna
29,Athletic,R. Sociedad
29,Atlético,Almería
29,Celta,Mallorca
29,Villarreal,Real Valladolid
30,Elche,Valencia
30,Espanyol,Cádiz
30,Mallorca,Getafe
30,Real Madrid,Celta
30,Almería,Athletic
30,Barcelona,Atlético
30,Osasuna,Betis
30,R. Sociedad,Rayo
30,Real Valladolid,Girona
30,Sevilla,Villarreal
31,Atlético,Mallorca
31,Celta,Elche
31,Girona,Real Madrid
31,Villarreal,Espanyol
31,Athletic,Sevilla
31,Cádiz,Osasuna
31,Valencia,Real Valladolid
31,Getafe,Almería
31,Rayo,Barcelona
31,Betis,R. Sociedad
32,Elche,Rayo
32,Sevilla,Girona
32,Cádiz,Valencia
32,Espanyol,Getafe
32,Mallorca,Athletic
32,Real Madrid,Almería
32,Villarreal,Celta
32,Barcelona,Betis
32,Osasuna,R. Sociedad
32,Real Valladolid,Atlético
33,Atlético,Cádiz
33,Barcelona,Osasuna
33,Almería,Elche
33,Sevilla,Espanyol
33,Athletic,Betis
33,Getafe,Celta
33,Girona,Mallorca
33,Rayo,Real Valladolid
33,R. Sociedad,Real Madrid
33,Valencia,Villarreal
34,Celta,Valencia
34,Mallorca,Cádiz
34,Elche,Atlético
34,Espanyol,Barcelona
34,Betis,Rayo
34,Real Madrid,Getafe
34,R. Sociedad,Girona
34,Real Valladolid,Sevilla
34,Osasuna,Almería
34,Villarreal,Athletic
35,Athletic,Celta
35,Atlético,Osasuna
35,Valencia,Real Madrid
35,Cádiz,Real Valladolid
35,Rayo,Espanyol
35,Sevilla,Betis
35,Getafe,Elche
35,Almería,Mallorca
35,Barcelona,R. Sociedad
35,Girona,Villarreal
36,Espanyol,Atlético
36,Betis,Getafe
36,Elche,Sevilla
36,Mallorca,Valencia
36,Osasuna,Athletic
36,R. Sociedad,Almería
36,Real Valladolid,Barcelona
36,Villarreal,Cádiz
36,Celta,Girona
36,Real Madrid,Rayo
37,Rayo,Villarreal
37,Sevilla,Real Madrid
37,Atlético,R. Sociedad
37,Barcelona,Mallorca
37,Cádiz,Celta
37,Getafe,Osasuna
37,Valencia,Espanyol
37,Almería,Real Valladolid
37,Athletic,Elche
37,Girona,Betis
38,Espanyol,Almería
38,Mallorca,Rayo
38,Betis,Valencia
38,R. Sociedad,Sevilla
38,Celta,Barcelona
38,Villarreal,Atlético
38,Elche,Cádiz
38,Osasuna,Girona
38,Real Madrid,Athletic
38,Real Valladolid,Getafe
