Team,Player,Position,On_start,Points_Average,Last_5_games_points,J_4,J_3,J_2,J_1,J_Actual,Avg_last_5_games,Value,Squad_Average_Points,J_4_Squad_Points,J_3_Squad_Points,J_2_Squad_Points,J_1_Squad_Points,J_Actual_Squad_Points,Squad_Avg_last_5_Games,Value_Squad,vs,Vs_Team,Vs_Squad_Average_Points,J_4_Vs_Squad_Points,J_3_Vs_Squad_Points,J_2_Vs_Squad_Points,J_1_Vs_Squad_Points,J_Actual_Vs_Squad_Points,Vs_Squad_Avg_last_5_Games,Vs_Value_Squad,Team_clas,Vs_Team_clas,Jugador,Target
Athletic Club,Nolaskoain,DF,0,0.0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,320000,69.9,65,37,74,36,68,56.0,63700000,Alavés,Alavés,67.5,44,47,33,0,41,33.0,42980000,10,18,Nolaskoain,0.0
Athletic Club,Muniain,MD,95,6.5,"['-', '0', '7', '6', '2']",0,0,7,6,2,3.0,9690000,69.9,65,37,74,36,68,56.0,63700000,Alavés,Alavés,67.5,44,47,33,0,41,33.0,42980000,10,18,Muniain,8.0
Athletic Club,Nico Williams,MD,30,2.6,"['5', '2', '4', '0', '5']",5,2,4,0,5,3.2,3140000,69.9,65,37,74,36,68,56.0,63700000,Alavés,Alavés,67.5,44,47,33,0,41,33.0,42980000,10,18,Nico Williams,2.0
Athletic Club,Álex Berenguer,MD,60,2.8,"['2', '2', '3', '-', '7']",2,2,3,0,7,2.8,4660000,69.9,65,37,74,36,68,56.0,63700000,Alavés,Alavés,67.5,44,47,33,0,41,33.0,42980000,10,18,Álex Berenguer,2.0
Athletic Club,Zarraga,MD,20,2.2,"['3', '2', '1', '1', '-']",3,2,1,1,0,1.4,910000,69.9,65,37,74,36,68,56.0,63700000,Alavés,Alavés,67.5,44,47,33,0,41,33.0,42980000,10,18,Zarraga,2.0
Athletic Club,Mikel Vesga,MD,20,1.9,"['-', '-', '2', '-', '2']",0,0,2,0,2,0.8,730000,69.9,65,37,74,36,68,56.0,63700000,Alavés,Alavés,67.5,44,47,33,0,41,33.0,42980000,10,18,Mikel Vesga,4.0
Athletic Club,Williams,DL,90,5.4,"['4', '4', '16', '3', '8']",4,4,16,3,8,7.0,10770000,69.9,65,37,74,36,68,56.0,63700000,Alavés,Alavés,67.5,44,47,33,0,41,33.0,42980000,10,18,Williams,3.0
Athletic Club,Sancet,DL,40,5.2,"['4', '2', '11', '8', '22']",4,2,11,8,22,9.4,4120000,69.9,65,37,74,36,68,56.0,63700000,Alavés,Alavés,67.5,44,47,33,0,41,33.0,42980000,10,18,Sancet,4.0
Athletic Club,Villalibre,DL,5,2.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1020000,69.9,65,37,74,36,68,56.0,63700000,Alavés,Alavés,67.5,44,47,33,0,41,33.0,42980000,10,18,Villalibre,0.0
Atlético Madrid,Oblak,PT,100,2.9,"['1', '0', '0', '-', '5']",1,0,0,0,5,1.2,5000000,74.7,66,46,48,0,59,43.800000000000004,106100000,Villarreal,Villarreal,100.3,51,91,83,0,114,67.8,96690000,4,8,Oblak,2.0
Atlético Madrid,Lecomte,PT,0,0.0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,260000,74.7,66,46,48,0,59,43.800000000000004,106100000,Villarreal,Villarreal,100.3,51,91,83,0,114,67.8,96690000,4,8,Lecomte,0.0
Atlético Madrid,Mario Hermoso,DF,84,3.3,"['2', '2', '2', '-', '5']",2,2,2,0,5,2.2,3320000,74.7,66,46,48,0,59,43.800000000000004,106100000,Villarreal,Villarreal,100.3,51,91,83,0,114,67.8,96690000,4,8,Mario Hermoso,2.0
Atlético Madrid,Felipe,DF,47,4.4,"['5', '1', '12', '-', '-']",5,1,12,0,0,3.6,2960000,74.7,66,46,48,0,59,43.800000000000004,106100000,Villarreal,Villarreal,100.3,51,91,83,0,114,67.8,96690000,4,8,Felipe,2.0
Atlético Madrid,Renan Lodi,DF,26,2.9,"['6', '3', '-', '-', '8']",6,3,0,0,8,3.4,1990000,74.7,66,46,48,0,59,43.800000000000004,106100000,Villarreal,Villarreal,100.3,51,91,83,0,114,67.8,96690000,4,8,Renan Lodi,2.0
Atlético Madrid,Vrsaljko,DF,5,4.7,"['1', '-', '-', '-', '-']",1,0,0,0,0,0.2,1230000,74.7,66,46,48,0,59,43.800000000000004,106100000,Villarreal,Villarreal,100.3,51,91,83,0,114,67.8,96690000,4,8,Vrsaljko,4.0
Atlético Madrid,Rodrigo de Paul,MD,63,4.8,"['5', '6', '4', '-', '2']",5,6,4,0,2,3.4,8310000,74.7,66,46,48,0,59,43.800000000000004,106100000,Villarreal,Villarreal,100.3,51,91,83,0,114,67.8,96690000,4,8,Rodrigo de Paul,2.0
Atlético Madrid,Lemar,MD,53,6.1,"['2', '4', '9', '-', '5']",2,4,9,0,5,4.0,6880000,74.7,66,46,48,0,59,43.800000000000004,106100000,Villarreal,Villarreal,100.3,51,91,83,0,114,67.8,96690000,4,8,Lemar,2.0
Atlético Madrid,Kondogbia,MD,47,4.9,"['6', '4', '4', '-', '10']",6,4,4,0,10,4.8,3960000,74.7,66,46,48,0,59,43.800000000000004,106100000,Villarreal,Villarreal,100.3,51,91,83,0,114,67.8,96690000,4,8,Kondogbia,8.0
Atlético Madrid,Koke,MD,79,4.3,"['8', '4', '6', '-', '-']",8,4,6,0,0,3.6,6760000,74.7,66,46,48,0,59,43.800000000000004,106100000,Villarreal,Villarreal,100.3,51,91,83,0,114,67.8,96690000,4,8,Koke,2.0
Atlético Madrid,Marcos Llorente,MD,68,4.1,"['4', '4', '1', '-', '-']",4,4,1,0,0,1.8,9370000,74.7,66,46,48,0,59,43.800000000000004,106100000,Villarreal,Villarreal,100.3,51,91,83,0,114,67.8,96690000,4,8,Marcos Llorente,6.0
Atlético Madrid,Héctor Herrera,MD,11,4.2,"['-', '5', '-', '-', '-']",0,5,0,0,0,1.0,970000,74.7,66,46,48,0,59,43.800000000000004,106100000,Villarreal,Villarreal,100.3,51,91,83,0,114,67.8,96690000,4,8,Héctor Herrera,0.0
Atlético Madrid,Carlos Martín,MD,0,3.0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,320000,74.7,66,46,48,0,59,43.800000000000004,106100000,Villarreal,Villarreal,100.3,51,91,83,0,114,67.8,96690000,4,8,Carlos Martín,0.0
Atlético Madrid,Correa,DL,68,5.6,"['6', '2', '3', '-', '16']",6,2,3,0,16,5.4,9490000,74.7,66,46,48,0,59,43.800000000000004,106100000,Villarreal,Villarreal,100.3,51,91,83,0,114,67.8,96690000,4,8,Correa,9.0
Atlético Madrid,Luis Suárez,DL,68,5.0,"['2', '2', '2', '-', '5']",2,2,2,0,5,2.2,14000000,74.7,66,46,48,0,59,43.800000000000004,106100000,Villarreal,Villarreal,100.3,51,91,83,0,114,67.8,96690000,4,8,Luis Suárez,0.0
Atlético Madrid,Griezmann,DL,79,5.3,"['5', '3', '-', '-', '-']",5,3,0,0,0,1.6,15710000,74.7,66,46,48,0,59,43.800000000000004,106100000,Villarreal,Villarreal,100.3,51,91,83,0,114,67.8,96690000,4,8,Griezmann,0.0
Atlético Madrid,Matheus Cunha,DL,11,4.3,"['11', '2', '2', '-', '3']",11,2,2,0,3,3.6,7440000,74.7,66,46,48,0,59,43.800000000000004,106100000,Villarreal,Villarreal,100.3,51,91,83,0,114,67.8,96690000,4,8,Matheus Cunha,1.0
Atlético Madrid,João Félix,DL,21,4.9,"['2', '4', '3', '-', '-']",2,4,3,0,0,1.8,8130000,74.7,66,46,48,0,59,43.800000000000004,106100000,Villarreal,Villarreal,100.3,51,91,83,0,114,67.8,96690000,4,8,João Félix,3.0
Osasuna,Sergio Herrera,PT,95,4.2,"['9', '0', '5', '-', '1']",9,0,5,0,1,3.0,3920000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Sergio Herrera,7.0
Osasuna,Juan Pérez,PT,5,-2.0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,300000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Juan Pérez,0.0
Osasuna,David García Zub.,DF,95,5.8,"['7', '9', '-', '-', '3']",7,9,0,0,3,3.8,5030000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,David García Zub.,6.0
Osasuna,Nacho Vidal,DF,89,4.1,"['5', '2', '3', '-', '2']",5,2,3,0,2,2.4,2950000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Nacho Vidal,5.0
Osasuna,Unai García,DF,68,3.9,"['6', '3', '6', '-', '2']",6,3,6,0,2,3.4,1310000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Unai García,0.0
Osasuna,José Ángel Cote,DF,26,3.3,"['-', '3', '-', '-', '1']",0,3,0,0,1,0.8,1170000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,José Ángel Cote,7.0
Osasuna,Juan Cruz,DF,37,3.0,"['5', '2', '5', '-', '0']",5,2,5,0,0,2.4,800000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Juan Cruz,3.0
Osasuna,Aridane Hernández,DF,32,2.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1590000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Aridane Hernández,0.0
Osasuna,Jesús Areso,DF,11,0.0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,280000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Jesús Areso,0.0
Osasuna,Ramalho,DF,0,0.0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,240000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Ramalho,0.0
Osasuna,Jon Moncayola,MD,84,4.4,"['5', '7', '4', '-', '8']",5,7,4,0,8,4.8,3800000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Jon Moncayola,9.0
Osasuna,Rubén García,MD,79,4.3,"['2', '0', '8', '-', '5']",2,0,8,0,5,3.0,5800000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Rubén García,3.0
Osasuna,Lucas Torró,MD,84,4.8,"['4', '3', '4', '-', '2']",4,3,4,0,2,2.6,4730000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Lucas Torró,7.0
Osasuna,Roberto Torres,MD,26,4.3,"['-', '3', '-', '-', '2']",0,3,0,0,2,1.0,3800000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Roberto Torres,3.0
Osasuna,Brasanac,MD,79,2.8,"['2', '2', '1', '-', '-']",2,2,1,0,0,1.0,1730000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Brasanac,2.0
Osasuna,Javi Martínez Calvo,MD,16,3.4,"['6', '-', '0', '-', '2']",6,0,0,0,2,1.6,1000000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Javi Martínez Calvo,0.0
Osasuna,Kike Barja,MD,32,2.7,"['2', '1', '2', '-', '2']",2,1,2,0,2,1.4,1460000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Kike Barja,8.0
Osasuna,Kike García,DL,74,4.0,"['-', '2', '-', '-', '10']",0,2,0,0,10,2.4,4120000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Kike García,10.0
Osasuna,Oier,MD,26,1.2,"['-', '-', '0', '-', '-']",0,0,0,0,0,0.0,490000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Oier,3.0
Osasuna,Iñigo Pérez,MD,11,2.6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,420000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Iñigo Pérez,0.0
Osasuna,Ontiveros,MD,0,1.0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,610000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Ontiveros,0.0
Osasuna,Jaume Grau,MD,0,0.0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,230000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Jaume Grau,0.0
Osasuna,Barbero,DL,0,1.0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,290000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Barbero,0.0
Osasuna,Ezequiel Ávila,DL,37,3.7,"['4', '10', '3', '-', '-1']",4,10,3,0,-1,3.2,5550000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Ezequiel Ávila,0.0
Osasuna,Budimir,DL,21,2.9,"['2', '2', '-', '-', '3']",2,2,0,0,3,1.4,3450000,70.7,59,49,41,0,42,38.2,55400000,Cádiz,Cádiz,66.9,27,54,61,0,59,40.2,31470000,14,19,Budimir,7.0
Espanyol,Diego López,PT,100,5.6,"['2', '1', '0', '-', '2']",2,1,0,0,2,1.0,4320000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Diego López,0.0
Espanyol,Oier Olazábal,PT,0,0.0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,300000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Oier Olazábal,0.0
Espanyol,Sergi Gómez,DF,95,4.6,"['2', '2', '1', '-', '6']",2,2,1,0,6,2.2,3970000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Sergi Gómez,4.0
Espanyol,Leandro Cabrera,DF,100,4.3,"['2', '5', '5', '-', '4']",2,5,5,0,4,3.2,4080000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Leandro Cabrera,2.0
Espanyol,Adrià Pedrosa,DF,95,4.3,"['8', '2', '4', '-', '2']",8,2,4,0,2,3.2,3360000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Adrià Pedrosa,-2.0
Espanyol,Aleix Vidal,DF,68,3.5,"['1', '1', '4', '-', '3']",1,1,4,0,3,1.8,2270000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Aleix Vidal,2.0
Espanyol,Óscar Gil,DF,47,2.6,"['-', '-', '-', '-', '4']",0,0,0,0,4,0.8,790000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Óscar Gil,4.0
Espanyol,Dídac Vilà,DF,5,2.5,"['-', '-', '2', '-', '-']",0,0,2,0,0,0.4,410000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Dídac Vilà,0.0
Espanyol,Calero,DF,5,3.0,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,470000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Calero,0.0
Espanyol,Lluís Recasens,DF,0,4.0,"['-', '-', '2', '-', '-']",0,0,2,0,0,0.4,220000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Lluís Recasens,0.0
Espanyol,Sergi Darder,MD,95,4.3,"['2', '11', '2', '-', '2']",2,11,2,0,2,3.4,3630000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Sergi Darder,0.0
Espanyol,Embarba,MD,95,4.0,"['3', '3', '-', '-', '4']",3,3,0,0,4,2.0,6180000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Embarba,3.0
Espanyol,Morlanes,MD,32,3.5,"['3', '2', '2', '-', '2']",3,2,2,0,2,1.8,1670000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Morlanes,2.0
Espanyol,Javi Puado,MD,42,4.6,"['3', '18', '-1', '-', '13']",3,18,-1,0,13,6.6,3460000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Javi Puado,-1.0
Espanyol,Melendo,MD,42,3.4,"['2', '7', '2', '-', '-']",2,7,2,0,0,2.2,890000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Melendo,0.0
Espanyol,Keidi Bare,MD,37,3.2,"['4', '2', '-', '-', '6']",4,2,0,0,6,2.4,1170000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Keidi Bare,2.0
Espanyol,Yangel Herrera,MD,32,3.8,"['-', '2', '4', '-', '-']",0,2,4,0,0,1.2,2510000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Yangel Herrera,0.0
Espanyol,David López,MD,32,3.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1120000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,David López,0.0
Espanyol,Jofre Carreras,MD,0,0.0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,300000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Jofre Carreras,0.0
Espanyol,Fran Mérida,MD,11,2.8,"['-', '-', '-', '-', '10']",0,0,0,0,10,2.0,420000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Fran Mérida,0.0
Espanyol,Gori,MD,0,3.0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,260000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Gori,0.0
Espanyol,Loren Morón,DL,11,2.2,"['2', '2', '8', '-', '5']",2,2,8,0,5,3.4,1080000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Loren Morón,4.0
Espanyol,Dimata,DL,16,2.0,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,1210000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Dimata,3.0
Espanyol,Wu Lei,DL,16,2.1,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,750000,76.6,36,58,35,0,65,38.8,44840000,Elche,Elche,85.1,81,67,54,0,60,52.4,46650000,11,17,Wu Lei,0.0
Barcelona,Lenglet,DF,21,3.1,"['6', '-', '7', '-', '2']",6,0,7,0,2,3.0,1460000,115.89999999999999,49,47,65,0,61,44.4,121920000,Granada,Granada,82.0,69,61,78,0,57,53.0,48590000,5,13,Lenglet,2.0
Barcelona,Neto,PT,11,3.0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,370000,115.89999999999999,49,47,65,0,61,44.4,121920000,Granada,Granada,82.0,69,61,78,0,57,53.0,48590000,5,13,Neto,0.0
Barcelona,Piqué,DF,74,5.0,"['4', '7', '-', '-', '11']",4,7,0,0,11,4.4,5460000,115.89999999999999,49,47,65,0,61,44.4,121920000,Granada,Granada,82.0,69,61,78,0,57,53.0,48590000,5,13,Piqué,5.0
Barcelona,Ronald Araujo,DF,53,5.1,"['5', '-', '4', '-', '-']",5,0,4,0,0,1.8,6300000,115.89999999999999,49,47,65,0,61,44.4,121920000,Granada,Granada,82.0,69,61,78,0,57,53.0,48590000,5,13,Ronald Araujo,0.0
Barcelona,Jordi Alba,DF,68,5.8,"['6', '4', '4', '-', '6']",6,4,4,0,6,4.0,7060000,115.89999999999999,49,47,65,0,61,44.4,121920000,Granada,Granada,82.0,69,61,78,0,57,53.0,48590000,5,13,Jordi Alba,2.0
Barcelona,Sergiño Dest,DF,58,5.2,"['1', '-', '-', '-', '-']",1,0,0,0,0,0.2,3550000,115.89999999999999,49,47,65,0,61,44.4,121920000,Granada,Granada,82.0,69,61,78,0,57,53.0,48590000,5,13,Sergiño Dest,0.0
Barcelona,Mingueza,DF,42,3.8,"['-', '2', '-', '-', '8']",0,2,0,0,8,2.0,1760000,115.89999999999999,49,47,65,0,61,44.4,121920000,Granada,Granada,82.0,69,61,78,0,57,53.0,48590000,5,13,Mingueza,0.0
Barcelona,Eric García,DF,74,3.4,"['-', '-', '4', '-', '7']",0,0,4,0,7,2.2,3560000,115.89999999999999,49,47,65,0,61,44.4,121920000,Granada,Granada,82.0,69,61,78,0,57,53.0,48590000,5,13,Eric García,5.0
Barcelona,Umtiti,DF,5,4.0,"['-', '4', '-', '-', '-']",0,4,0,0,0,0.8,570000,115.89999999999999,49,47,65,0,61,44.4,121920000,Granada,Granada,82.0,69,61,78,0,57,53.0,48590000,5,13,Umtiti,0.0
Barcelona,Alejandro Balde,DF,5,0.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,610000,115.89999999999999,49,47,65,0,61,44.4,121920000,Granada,Granada,82.0,69,61,78,0,57,53.0,48590000,5,13,Alejandro Balde,0.0
Barcelona,Gavi,MD,68,4.4,"['2', '6', '15', '-', '-']",2,6,15,0,0,4.6,8720000,115.89999999999999,49,47,65,0,61,44.4,121920000,Granada,Granada,82.0,69,61,78,0,57,53.0,48590000,5,13,Gavi,-4.0
Barcelona,Sergio Busquets,MD,95,5.7,"['9', '5', '2', '-', '-']",9,5,2,0,0,3.2,9100000,115.89999999999999,49,47,65,0,61,44.4,121920000,Granada,Granada,82.0,69,61,78,0,57,53.0,48590000,5,13,Sergio Busquets,6.0
Barcelona,Sergi Roberto,MD,21,4.6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1990000,115.89999999999999,49,47,65,0,61,44.4,121920000,Granada,Granada,82.0,69,61,78,0,57,53.0,48590000,5,13,Sergi Roberto,0.0
Barcelona,Riqui Puig,MD,5,2.7,"['2', '-', '3', '-', '5']",2,0,3,0,5,2.0,1630000,115.89999999999999,49,47,65,0,61,44.4,121920000,Granada,Granada,82.0,69,61,78,0,57,53.0,48590000,5,13,Riqui Puig,0.0
Barcelona,Pedri,MD,11,3.0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,8410000,115.89999999999999,49,47,65,0,61,44.4,121920000,Granada,Granada,82.0,69,61,78,0,57,53.0,48590000,5,13,Pedri,0.0
Barcelona,Álvaro Sanz,MD,0,1.0,"['-', '-', '-', '-', '1']",0,0,0,0,1,0.2,240000,115.89999999999999,49,47,65,0,61,44.4,121920000,Granada,Granada,82.0,69,61,78,0,57,53.0,48590000,5,13,Álvaro Sanz,2.0
